Invoice ID,City,Customer_age,Gender,Product_line,Unit_price,Quantity,Tax 5%,Total,Date,Time,Payment,gross margin percentage,gross income,rating,Item_Visibility,monthly_income
750-67-8428,Yangon,21,Male,health_gadget,74.69,7,26.1415,548.9715,01-05-2019,13:08,Ewallet,4.761904762,26.1415,9.1,0.007564836,53490
226-31-3081,Naypyitaw,22,Male,electronics,15.28,5,3.82,80.22,03-08-2019,10:29,Cash,4.761904762,3.82,9.6,0.038427677,25026
631-41-3108,Yangon,43,Male,home_appliances,46.33,7,16.2155,340.5255,03-03-2019,13:23,Credit card,4.761904762,16.2155,7.4,0.099574908,89600
123-19-1176,Yangon,55,Male,health_gadget,58.22,8,23.288,489.048,1/27/2019,20:33,Ewallet,4.761904762,23.288,8.4,0.015388393,49102
373-73-7910,Yangon,45,Male,computers,86.31,7,30.2085,634.3785,02-08-2019,10:37,Ewallet,4.761904762,30.2085,5.3,0.118599314,77154
699-14-3026,Naypyitaw,33,Male,electronics,85.39,7,29.8865,627.6165,3/25/2019,18:30,Ewallet,4.761904762,29.8865,4.1,0.063817206,51851
355-53-5943,Yangon,32,Male,electronics,68.84,6,20.652,433.692,2/25/2019,14:36,Ewallet,4.761904762,20.652,5.8,0.082601537,30006
315-22-5665,Naypyitaw,73,Male,home_appliances,73.56,10,36.78,772.38,2/24/2019,11:38,Ewallet,4.761904762,36.78,8,0.015782495,21562
665-32-9167,Yangon,21,Male,health_gadget,36.26,2,3.626,76.146,01-10-2019,17:15,Credit card,4.761904762,3.626,7.2,0.123365446,44748
692-92-5582,Mandalay,22,Male,pendrive,54.84,3,8.226,172.746,2/20/2019,13:27,Credit card,4.761904762,8.226,5.9,0.005698435,34137
351-62-0822,Mandalay,43,Male,hardisk,14.48,4,2.896,60.816,02-06-2019,18:07,Ewallet,4.761904762,2.896,4.5,0.103569075,46224
529-56-3974,Mandalay,55,Male,electronics,25.51,4,5.102,107.142,03-09-2019,17:03,Cash,4.761904762,5.102,6.8,0.10581147,32201
365-64-0515,Yangon,45,Male,electronics,46.95,5,11.7375,246.4875,02-12-2019,10:25,Ewallet,4.761904762,11.7375,7.1,0.171079215,52127
252-56-2699,Yangon,33,Male,pendrive,43.19,10,21.595,453.495,02-07-2019,16:48,Ewallet,4.761904762,21.595,8.2,0.092737611,59716
829-34-3910,Yangon,32,Male,health_gadget,71.38,10,35.69,749.49,3/29/2019,19:21,Cash,4.761904762,35.69,5.7,0.021206464,54800
299-46-1805,Mandalay,27,Male,computers,93.72,6,28.116,590.436,1/15/2019,16:19,Cash,4.761904762,28.116,4.5,0.0794507,55000
656-95-9349,Yangon,21,Male,health_gadget,68.93,7,24.1255,506.6355,03-11-2019,11:03,Credit card,4.761904762,24.1255,4.6,0.05413521,50100
765-26-6951,Yangon,22,Male,computers,72.61,6,21.783,457.443,01-01-2019,10:39,Credit card,4.761904762,21.783,6.9,0.037980963,82059
329-62-1586,Yangon,21,Male,pendrive,54.67,3,8.2005,172.2105,1/21/2019,18:00,Credit card,4.761904762,8.2005,8.6,0.028184344,80493
319-50-3348,Mandalay,22,Male,home_appliances,40.3,2,4.03,84.63,03-11-2019,15:30,Ewallet,4.761904762,4.03,4.4,0.196897637,37310
300-71-4605,Naypyitaw,23,Male,electronics,86.04,5,21.51,451.71,2/25/2019,11:24,Ewallet,4.761904762,21.51,4.8,0.109920138,42345
371-85-5789,Mandalay,44,Male,health_gadget,87.98,3,13.197,277.137,03-05-2019,10:40,Ewallet,4.761904762,13.197,5.1,0.182619235,87780
273-16-6619,Mandalay,32,Male,home_appliances,33.2,2,3.32,69.72,3/15/2019,12:20,Credit card,4.761904762,3.32,4.4,0.065630844,69402
636-48-8204,Yangon,22,Male,electronics,34.56,5,8.64,181.44,2/17/2019,11:15,Ewallet,4.761904762,8.64,9.9,0.027447057,79872
549-59-1358,Yangon,22,Male,bluetooth,88.63,3,13.2945,279.1845,03-02-2019,17:36,Ewallet,4.761904762,13.2945,6,0.035178935,51340
227-03-5010,Yangon,22,Male,home_appliances,52.59,8,21.036,441.756,3/22/2019,19:20,Credit card,4.761904762,21.036,8.5,0.038455125,32000
649-29-6775,Mandalay,43,Male,hardisk,33.52,1,1.676,35.196,02-08-2019,15:31,Cash,4.761904762,1.676,6.7,0.035102094,22000
189-17-4241,Yangon,22,Male,hardisk,87.67,2,8.767,184.107,03-10-2019,12:17,Credit card,4.761904762,8.767,7.7,0.091485232,37000
145-94-9061,Mandalay,22,Male,pendrive,88.36,5,22.09,463.89,1/25/2019,19:48,Cash,4.761904762,22.09,9.6,0.058102469,18000
848-62-7243,Yangon,33,Male,health_gadget,24.89,9,11.2005,235.2105,3/15/2019,15:36,Cash,4.761904762,11.2005,7.4,0.022940349,72926
871-79-8483,Mandalay,44,Male,hardisk,94.13,5,23.5325,494.1825,2/25/2019,19:39,Credit card,4.761904762,23.5325,4.8,0.06737681,70130
149-71-6266,Mandalay,54,Male,bluetooth,78.07,9,35.1315,737.7615,1/28/2019,12:43,Cash,4.761904762,35.1315,4.5,0.022148582,61400
640-49-2076,Mandalay,21,Male,bluetooth,83.78,8,33.512,703.752,01-10-2019,14:49,Cash,4.761904762,33.512,5.1,0.006792707,61422
595-11-5460,Yangon,22,Male,health_gadget,96.58,2,9.658,202.818,3/15/2019,10:12,Credit card,4.761904762,9.658,5.1,0.024870035,80724
183-56-6882,Naypyitaw,43,Male,pendrive,99.42,4,19.884,417.564,02-06-2019,10:42,Ewallet,4.761904762,19.884,7.5,0.096931426,80906
232-16-2483,Naypyitaw,55,Male,bluetooth,68.12,1,3.406,71.526,01-07-2019,12:28,Ewallet,4.761904762,3.406,6.8,0.008693632,12000
129-29-8530,Yangon,45,Male,computers,62.62,5,15.655,328.755,03-10-2019,19:15,Ewallet,4.761904762,15.655,7,0.078961284,42704
272-65-1806,Yangon,24,Male,electronics,60.88,9,27.396,575.316,1/15/2019,17:17,Ewallet,4.761904762,27.396,4.7,0.050479463,40007
333-73-7901,Naypyitaw,25,Male,health_gadget,54.92,8,21.968,461.328,3/23/2019,13:24,Ewallet,4.761904762,21.968,7.6,0.089485918,76026
777-82-7220,Mandalay,34,Male,home_appliances,30.12,8,12.048,253.008,03-03-2019,13:01,Cash,4.761904762,12.048,7.7,0.01594238,35014
280-35-5823,Mandalay,21,Male,home_appliances,86.72,1,4.336,91.056,1/17/2019,18:45,Ewallet,4.761904762,4.336,7.9,0.029127115,42450
554-53-8700,Naypyitaw,22,Male,home_appliances,56.11,2,5.611,117.831,02-02-2019,10:11,Cash,4.761904762,5.611,6.3,0.069236421,33000
354-25-5821,Mandalay,43,Male,bluetooth,69.12,6,20.736,435.456,02-08-2019,13:03,Cash,4.761904762,20.736,5.6,0.178699961,58517
228-96-1411,Naypyitaw,55,Male,pendrive,98.7,8,39.48,829.08,03-04-2019,20:39,Cash,4.761904762,39.48,7.6,0.015740089,78886
617-15-4209,Naypyitaw,33,Male,health_gadget,15.37,2,1.537,32.277,3/16/2019,19:47,Cash,4.761904762,1.537,7.2,0.059565107,72811
132-32-9879,Mandalay,44,Male,electronics,93.96,4,18.792,394.632,03-09-2019,18:00,Cash,4.761904762,18.792,9.5,0.126277921,50000
370-41-7321,Mandalay,32,Male,health_gadget,56.69,9,25.5105,535.7205,2/27/2019,17:24,Credit card,4.761904762,25.5105,8.4,0.291322397,5000
727-46-3608,Mandalay,22,Male,pendrive,20.01,9,9.0045,189.0945,02-06-2019,15:47,Ewallet,4.761904762,9.0045,4.1,0.053433908,50679
669-54-1719,Mandalay,22,Male,electronics,18.93,6,5.679,119.259,02-10-2019,12:45,Credit card,4.761904762,5.679,8.1,0.131155007,52000
574-22-5561,Naypyitaw,34,Male,hardisk,82.63,10,41.315,867.615,3/19/2019,17:08,Ewallet,4.761904762,41.315,7.9,0.075194929,49390
326-78-5178,Naypyitaw,43,Male,pendrive,91.4,7,31.99,671.79,02-03-2019,10:19,Cash,4.761904762,31.99,9.5,0.075557965,74400
162-48-8011,Yangon,40,Male,pendrive,44.59,5,11.1475,234.0975,02-10-2019,15:10,Cash,4.761904762,11.1475,8.5,0.122928415,44180
616-24-2851,Mandalay,45,Male,hardisk,17.87,4,3.574,75.054,3/22/2019,14:42,Ewallet,4.761904762,3.574,6.5,0.044442342,22000
778-71-5554,Naypyitaw,33,Male,hardisk,15.43,1,0.7715,16.2015,1/25/2019,15:46,Credit card,4.761904762,0.7715,6.1,0.100741569,33303
242-55-6721,Mandalay,32,Male,home_appliances,16.16,2,1.616,33.936,03-07-2019,11:49,Ewallet,4.761904762,1.616,6.5,0.039651481,71342
399-46-5918,Naypyitaw,22,Male,electronics,85.98,8,34.392,722.232,2/28/2019,19:01,Cash,4.761904762,34.392,8.2,0.011278673,27500
106-35-6779,Yangon,21,Male,home_appliances,44.34,2,4.434,93.114,3/27/2019,11:26,Cash,4.761904762,4.434,5.8,0,50999
635-40-6220,Yangon,22,Male,health_gadget,89.6,8,35.84,752.64,02-07-2019,11:28,Ewallet,4.761904762,35.84,6.6,0.106952661,56200
817-48-8732,Yangon,43,Male,home_appliances,72.35,10,36.175,759.675,1/20/2019,15:55,Cash,4.761904762,36.175,5.4,0.129825457,32138
120-06-4233,Naypyitaw,22,Male,electronics,30.61,6,9.183,192.843,03-12-2019,20:36,Cash,4.761904762,9.183,9.3,0.029947409,24500
285-68-5083,Naypyitaw,23,Male,computers,24.74,3,3.711,77.931,2/15/2019,17:47,Credit card,4.761904762,3.711,10,0.035565457,44530
803-83-5989,Naypyitaw,33,Male,home_appliances,55.73,6,16.719,351.099,2/24/2019,10:55,Ewallet,4.761904762,16.719,7,0.047760002,82496
347-34-2234,Mandalay,45,Male,computers,55.07,9,24.7815,520.4115,02-03-2019,13:40,Ewallet,4.761904762,24.7815,10,0.015089147,38794
199-75-8169,Yangon,55,Male,computers,15.81,10,7.905,166.005,03-06-2019,12:27,Credit card,4.761904762,7.905,8.6,0.07818366,40669
853-23-2453,Mandalay,55,Male,health_gadget,75.74,4,15.148,318.108,2/14/2019,14:35,Cash,4.761904762,15.148,7.6,0.086632125,49169
877-22-3308,Yangon,33,Male,health_gadget,15.87,10,7.935,166.635,3/13/2019,16:40,Cash,4.761904762,7.935,5.8,0.064306056,77504
838-78-4295,Naypyitaw,33,Male,health_gadget,33.47,2,3.347,70.287,02-10-2019,15:43,Ewallet,4.761904762,3.347,6.7,0.08493006,75791
109-28-2512,Mandalay,33,Male,hardisk,97.61,6,29.283,614.943,01-07-2019,15:01,Ewallet,4.761904762,29.283,9.9,0.072066634,87607
232-11-3025,Yangon,22,Male,computers,78.77,10,39.385,827.085,1/24/2019,10:04,Cash,4.761904762,39.385,6.4,0.041256807,27896
382-03-4532,Yangon,33,Male,health_gadget,18.33,1,0.9165,19.2465,02-02-2019,18:50,Cash,4.761904762,0.9165,4.3,0.058587558,41659
393-65-2792,Naypyitaw,55,Male,pendrive,89.48,10,44.74,939.54,01-06-2019,12:46,Credit card,4.761904762,44.74,9.6,0.015711434,55000
796-12-2025,Naypyitaw,43,Male,hardisk,62.12,10,31.06,652.26,02-11-2019,16:19,Cash,4.761904762,31.06,5.9,0.032714163,78071
510-95-6347,Mandalay,33,Male,pendrive,48.52,3,7.278,152.838,03-05-2019,18:17,Ewallet,4.761904762,7.278,4,0.047782552,53797
841-35-6630,Naypyitaw,33,Male,electronics,75.91,6,22.773,478.233,03-09-2019,18:21,Cash,4.761904762,22.773,8.7,0.067560171,22000
287-21-9091,Yangon,33,Male,home_appliances,74.67,9,33.6015,705.6315,1/22/2019,10:55,Ewallet,4.761904762,33.6015,9.4,0.029505077,23160
732-94-0499,Naypyitaw,33,Male,electronics,41.65,10,20.825,437.325,1/13/2019,17:04,Credit card,4.761904762,20.825,5.4,0.045076104,31860
263-10-3913,Naypyitaw,33,Male,hardisk,49.04,9,22.068,463.428,01-09-2019,14:20,Credit card,4.761904762,22.068,8.6,0.299544153,37010
381-20-0914,Yangon,35,Male,hardisk,20.01,9,9.0045,189.0945,01-12-2019,15:48,Credit card,4.761904762,9.0045,5.7,0.139452413,16793
829-49-1914,Naypyitaw,34,Male,pendrive,78.31,10,39.155,822.255,03-05-2019,16:24,Ewallet,4.761904762,39.155,6.6,0.246178257,33000
